field_label,internal_name,type,required_for,notes
Lead Type,lead_type,single-line text,all forms,"Values: funding_eligibility, ai_audit, nj_funding_readiness_checklist, investor_overview_request"
Source Page,source_page,single-line text,all forms,Populate with page path
UTM Source,utm_source,single-line text,all forms,Google/Meta/referral/source
UTM Medium,utm_medium,single-line text,all forms,cpc/paid_social/organic/email/referral
UTM Campaign,utm_campaign,single-line text,all forms,Cumulative campaign name
UTM Content,utm_content,single-line text,all forms,Ad creative or CTA variant
UTM Term,utm_term,single-line text,all forms,Keyword or audience note
Business Legal Name,business_name,single-line text,funding,No DBA-only names for underwriting
Owner Name,owner_name,single-line text,funding,Initial contact owner/principal
Contact Name,contact_name,single-line text,ai/resource/investor,Use when owner status is not known
Business Email,email,email,all forms,Use HubSpot native email when possible
Phone Number,phone,phone,funding/ai,Do not require on checklist if conversion drops
Business State,business_state,dropdown,funding/resource,NJ or outside NJ
Industry,industry,dropdown,funding,"contractor, restaurant, salon, repair, professional, other"
Monthly Gross Revenue,monthly_revenue,dropdown,funding/resource,"under-15, 15-25, 25-50, 50-plus"
Time In Business,time_in_business,dropdown,funding/resource,"under-12, 12-24, 24-plus"
Desired Funding,desired_funding,dropdown,funding,"5-15, 15-35, 35-plus"
Existing Funding Positions,existing_positions,dropdown,funding,"none, top-tier, stacked, unknown"
Use Of Funds,use_of_funds,multi-line text,funding,Keep specific and business-purpose only
Workflow Area,workflow_area,dropdown,ai,"lead capture, scheduling, invoicing, reporting, support, not sure"
Current Tools,current_tools,single-line text,ai,CRM/POS/spreadsheets/phone system
Bottleneck,bottleneck,multi-line text,ai,Manual work to review
Consent,consent,checkbox,all forms,Form-specific consent text
Investor Profile,investor_profile,dropdown,investor,"individual, business-owner, real-estate, family-office, advisor, other"
Investor Location,investor_location,single-line text,investor,City and state
Conversation Type,conversation_type,dropdown,investor,"overview, operator, advisor"
Accredited Status,accredited_status,dropdown,investor,"yes, entity, not-sure"
Investor Interest,investor_interest,multi-line text,investor,Why the lead requested the overview
