Campaign,Ad group,Keyword,Match type
All,All,"personal loan",Phrase
All,All,"payday loan",Phrase
All,All,"consumer loan",Phrase
All,All,"credit card",Phrase
All,All,"mortgage",Phrase
All,All,"student loan",Phrase
All,All,"auto loan",Phrase
All,All,"debt relief",Phrase
All,All,"debt settlement",Phrase
All,All,"credit repair",Phrase
All,All,"bankruptcy",Phrase
All,All,"crypto",Phrase
All,All,"bitcoin",Phrase
All,All,"grant",Phrase
All,All,"free money",Phrase
All,All,"unemployment",Phrase
All,All,"hardship",Phrase
All,All,"rent assistance",Phrase
All,All,"direct lender",Phrase
All,All,"guaranteed approval",Phrase
All,All,"instant funding",Phrase
All,All,"same day funding",Phrase
All,All,"no doc",Phrase
All,All,"no documents",Phrase
All,All,"bad credit",Phrase
All,All,"startup loan",Phrase
All,All,"sba loan",Phrase
All,All,"equipment loan",Phrase
All,All,"invoice factoring",Phrase
