Metric,Formula Or Rule,Example
Total capital pool,User-defined,$75000
Reserve percentage,Keep untouched for liquidity and mistakes,30%
Deployable capital,Capital pool x (1 - reserve %),$52500
Max active deals,Start small until performance is proven,5
Max single merchant exposure,Capital pool x 15% default,$11250
Target first advance range,Launch box,$5000-$15000
Target position,First position preferred,First position
Second-position rule,Only behind top-tier lender with verified senior balance and adequate cash flow,Manual review
Max combined remittance load,Estimated FORZA monthly remittance plus existing remittance divided by monthly revenue,Under 24%
Target holdback,Estimated FORZA monthly remittance divided by monthly revenue,Under 18%
Stop-loss trigger,Pause new funding if two active files become materially delinquent,Pause originations
Concentration trigger,Pause if one industry exceeds 40% of deployed capital,Rebalance
Weekly review,Review active balances remittance reconciliation and new leads,Every Friday
Monthly review,Review default early payoff discount and gross spread performance,Month-end
