Field,Example,Review Notes
Business legal name,Example HVAC LLC,
State,NJ,
Industry,Contractor / trades,
Monthly gross revenue,$35000,
Average daily balance,$4200,
Negative days last 90 days,2,
NSFs/returns last 90 days,0,
Existing funding position,None,
Senior lender name,N/A,
Current senior balance,N/A,
Requested advance,$10000,
Approved advance,$10000,
Factor rate,1.50,
Total purchased amount,$15000,
Eligible 30-day discount amount,$11000,
Potential discount savings,$4000,
Remittance method,Revenue percentage,
Estimated remittance percentage,TBD,
Weekly ACH amount if used,TBD,
Daily ACH amount if used,TBD,
Use of funds,Inventory and payroll,
UCC/tax lien result,Clear,
Entity verification,Complete,
Owner identity verification,Complete,
Performance guaranty reviewed,Yes,
No confession of judgment confirmed,Yes,
Reconciliation instructions attached,Yes,
Counsel-approved agreement version,TBD,
Final decision,Pending,
Approver,TBD,
Funding date,TBD,
