Campaign,Ad group,Keyword,Match type,Max CPC
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"mca offer comparison",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"compare mca offers",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"merchant cash advance comparison",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"mca rates comparison",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"mca factor rate comparison",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"mca offer review nj",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,Compare MCA Offers,"merchant cash advance review",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,MCA Offer Review,"review mca offer",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,MCA Offer Review,"mca contract review",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,MCA Offer Review,"business cash advance terms",Phrase,10.00
forza_google_nj_compare_mca_search_2026q2,MCA Offer Review,"mca payback calculator",Phrase,10.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"mca second opinion",Phrase,8.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"second opinion mca offer",Phrase,8.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"merchant cash advance second opinion",Phrase,8.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"mca renewal review",Phrase,8.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"mca payoff review",Phrase,8.00
forza_google_nj_second_opinion_search_2026q2,MCA Second Opinion,"business funding offer review",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"mca factor rate calculator",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"merchant cash advance calculator",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"mca payment calculator",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"mca payback calculator",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"factor rate calculator",Phrase,8.00
forza_google_nj_factor_rate_search_2026q2,Factor Rate Calculator,"cash advance factor rate",Phrase,8.00
