Asset type,Campaign,Ad group,Text,Description 1,Description 2,Final URL
Sitelink,All,All,Compare MCA Offers,Review advance/payback,Check payments and fees,https://forza-funding.com/funnels/compare-mca-offers-nj
Sitelink,All,All,MCA Second Opinion,Send terms for review,See the real payment math,https://forza-funding.com/funnels/mca-second-opinion-nj
Sitelink,All,All,Factor Rate Calculator,Estimate payback,Save a dashboard snapshot,https://forza-funding.com/funnels/factor-rate-calculator-nj
Sitelink,All,All,Private Dashboard,Organize offer details,Use secure email handoff,https://forza-funding.com/funnels/offer-dashboard-nj
Callout,All,All,$500/Month Membership,,,
Callout,All,All,1% Broker Fee Cap,,,
Callout,All,All,Business-Purpose Only,,,
Callout,All,All,Partner Underwriting,,,
Callout,All,All,Offer Math Visible,,,
Callout,All,All,Private Dashboard,,,
Callout,All,All,NJ-First Launch,,,
Callout,All,All,Secure Email Handoff,,,
Structured snippet,All,All,Services,Offer comparison; Factor-rate review; Payback math; Dashboard setup,,
