page,intent,primary_cta,secondary_cta,target_lead_type,notes
/,Brand + broad funding search,Check eligibility,How it works,funding_eligibility,Homepage captures direct and referral traffic
/nj-business-funding/,NJ business funding search,Check eligibility,Funding Readiness Checklist,funding_eligibility,Use for Meta campaign traffic and local SEO
/eligibility/,High-intent application traffic,Check eligibility,Disclosures,funding_eligibility,Primary conversion page
/industries/contractor-funding-nj/,Contractor funding NJ search,Check eligibility,Checklist,funding_eligibility,Industry is pre-selected in fallback form
/industries/restaurant-funding-nj/,Restaurant funding NJ search,Check eligibility,Checklist,funding_eligibility,Use restaurant-specific ad set later
/industries/salon-funding-nj/,Salon funding NJ search,Check eligibility,Checklist,funding_eligibility,Good organic page for local wellness businesses
/industries/auto-repair-funding-nj/,Auto repair funding NJ search,Check eligibility,Checklist,funding_eligibility,Targets service-shop intent
/resources/nj-funding-readiness-checklist/,Research-stage funding education,Get checklist,Check eligibility,nj_funding_readiness_checklist,Lead magnet and nurture entry point
/investor-overview/,Private investor awareness,Request investor overview,Read disclosures,investor_overview_request,Information-only page; not an offer or solicitation
/insights/,Educational SEO,Read article,Check eligibility,content_reader,Hub for weekly publishing
/ai-automation-audit/,AI consulting inquiry,Request audit review,Contact,ai_audit,Separate from funding
